"Date","Price","Open","High","Low","Vol.","Change %"
"05/02/2025","776.89","787.49","790.70","774.35","1.76B","0.14%"
"04/30/2025","775.79","754.52","775.79","752.65","2.04B","2.89%"
"04/29/2025","754.00","744.43","754.00","740.54","1.45B","1.45%"
"04/28/2025","743.23","743.91","747.99","740.61","1.06B","0.23%"
"04/25/2025","741.52","738.89","743.60","736.20","1.18B","1.23%"
"04/24/2025","732.52","734.49","739.32","730.00","1.28B","-0.82%"
"04/23/2025","738.54","737.53","742.76","732.71","1.71B","1.14%"
"04/22/2025","730.20","720.02","732.27","718.69","1.82B","0.83%"
"04/21/2025","724.16","734.16","737.77","720.64","1.79B","-1.57%"
"04/18/2025","735.70","731.23","737.92","729.34","1.55B","0.88%"
"04/17/2025","729.31","728.35","733.03","725.50","1.39B","-0.14%"
"04/16/2025","730.31","725.46","733.41","717.92","1.73B","0.45%"
"04/11/2025","727.04","726.12","732.49","718.90","1.63B","-0.38%"
"04/10/2025","729.82","730.53","739.55","720.88","2.13B","4.85%"
"04/09/2025","696.06","682.30","701.24","676.75","2.43B","1.81%"
"04/08/2025","683.69","680.16","687.41","667.69","2.89B","-4.40%"
"04/04/2025","715.17","736.56","737.09","713.61","2.12B","-3.57%"
"04/03/2025","741.67","741.54","744.70","737.49","1.72B","-1.30%"
"04/02/2025","751.43","747.52","754.16","746.25","1.19B","0.51%"
"04/01/2025","747.60","745.48","751.61","745.07","871.77M","1.06%"
