Series,OptionType,END_DATE,StrikePrice,Price,P/L
S50F21C650,C,2021-01-29,650.0,916.66,266.66
S50F21C650,C,2021-01-29,650.0,916.66,266.66
S50F21C650,C,2021-01-29,650.0,916.66,266.66
S50F21C650,C,2021-01-29,650.0,916.66,266.66
S50F21P650,P,2021-01-29,650.0,916.66,0.0
S50F21P650,P,2021-01-29,650.0,916.66,0.0
S50F21P650,P,2021-01-29,650.0,916.66,0.0
S50F21P650,P,2021-01-29,650.0,916.66,0.0
S50F22C825,C,2022-01-31,825.0,993.29,168.29
S50F22C825,C,2022-01-31,825.0,993.29,168.29
S50F22C825,C,2022-01-31,825.0,993.29,168.29
S50F22C825,C,2022-01-31,825.0,993.29,168.29
S50F22P825,P,2022-01-31,825.0,993.29,0.0
S50F22P825,P,2022-01-31,825.0,993.29,0.0
S50F22P825,P,2022-01-31,825.0,993.29,0.0
S50F22P825,P,2022-01-31,825.0,993.29,0.0
S50F23C875,C,2023-01-31,875.0,992.95,117.95
S50F23C875,C,2023-01-31,875.0,992.95,117.95
S50F23C875,C,2023-01-31,875.0,992.95,117.95
S50F23C875,C,2023-01-31,875.0,992.95,117.95
S50F23P875,P,2023-01-31,875.0,992.95,0.0
S50F23P875,P,2023-01-31,875.0,992.95,0.0
S50F23P875,P,2023-01-31,875.0,992.95,0.0
S50F23P875,P,2023-01-31,875.0,992.95,0.0
S50F24C725,C,2024-01-31,725.0,834.02,109.02
S50F24C725,C,2024-01-31,725.0,834.02,109.02
S50F24C725,C,2024-01-31,725.0,834.02,109.02
S50F24C725,C,2024-01-31,725.0,834.02,109.02
S50F24P725,P,2024-01-31,725.0,834.02,0.0
S50F24P725,P,2024-01-31,725.0,834.02,0.0
S50F24P725,P,2024-01-31,725.0,834.02,0.0
S50F24P725,P,2024-01-31,725.0,834.02,0.0
S50G21C800,C,2021-02-25,800.0,929.95,129.95
S50G21C800,C,2021-02-25,800.0,929.95,129.95
S50G21C800,C,2021-02-25,800.0,929.95,129.95
S50G21C800,C,2021-02-25,800.0,929.95,129.95
S50G21P800,P,2021-02-25,800.0,929.95,0.0
S50G21P800,P,2021-02-25,800.0,929.95,0.0
S50G21P800,P,2021-02-25,800.0,929.95,0.0
S50G21P800,P,2021-02-25,800.0,929.95,0.0
S50G22C825,C,2022-02-28,825.0,1016.58,191.58
S50G22C825,C,2022-02-28,825.0,1016.58,191.58
S50G22C825,C,2022-02-28,825.0,1016.58,191.58
S50G22C825,C,2022-02-28,825.0,1016.58,191.58
S50G22P825,P,2022-02-28,825.0,1016.58,0.0
S50G22P825,P,2022-02-28,825.0,1016.58,0.0
S50G22P825,P,2022-02-28,825.0,1016.58,0.0
S50G22P825,P,2022-02-28,825.0,1016.58,0.0
S50G23C875,C,2023-02-28,875.0,965.56,90.56
S50G23C875,C,2023-02-28,875.0,965.56,90.56
S50G23C875,C,2023-02-28,875.0,965.56,90.56
S50G23C875,C,2023-02-28,875.0,965.56,90.56
S50G23P875,P,2023-02-28,875.0,965.56,0.0
S50G23P875,P,2023-02-28,875.0,965.56,0.0
S50G23P875,P,2023-02-28,875.0,965.56,0.0
S50G23P875,P,2023-02-28,875.0,965.56,0.0
S50G24C725,C,2024-02-29,725.0,836.19,111.19
S50G24C725,C,2024-02-29,725.0,836.19,111.19
S50G24C725,C,2024-02-29,725.0,836.19,111.19
S50G24C725,C,2024-02-29,725.0,836.19,111.19
S50G24P725,P,2024-02-29,725.0,836.19,0.0
S50G24P725,P,2024-02-29,725.0,836.19,0.0
S50G24P725,P,2024-02-29,725.0,836.19,0.0
S50G24P725,P,2024-02-29,725.0,836.19,0.0
S50H21C650,C,2021-03-31,650.0,971.24,321.24
S50H21C650,C,2021-03-31,650.0,971.24,321.24
S50H21C650,C,2021-03-31,650.0,971.24,321.24
S50H21C650,C,2021-03-31,650.0,971.24,321.24
S50H21P650,P,2021-03-31,650.0,971.24,0.0
S50H21P650,P,2021-03-31,650.0,971.24,0.0
S50H21P650,P,2021-03-31,650.0,971.24,0.0
S50H21P650,P,2021-03-31,650.0,971.24,0.0
