"Date","Price","Open","High","Low","Vol.","Change %"
"05/23/2025","20,708.72","20,799.66","20,851.14","20,422.78","279.02M","-0.44%"
"05/22/2025","20,799.66","20,949.67","20,949.67","20,742.92","291.30M","-0.72%"
"05/21/2025","20,949.67","21,096.44","21,096.87","20,887.78","253.40M","-0.70%"
"05/20/2025","21,096.44","20,961.09","21,120.60","20,949.41","299.45M","0.65%"
"05/19/2025","20,961.09","20,972.26","20,972.33","20,706.81","339.75M","-0.05%"
"05/16/2025","20,972.26","20,844.76","20,974.11","20,844.76","349.78M","0.61%"
"05/15/2025","20,844.76","20,819.57","20,848.89","20,733.94","357.16M","0.12%"
"05/14/2025","20,819.57","20,759.67","20,864.03","20,704.86","517.19M","0.29%"
"05/13/2025","20,759.67","20,627.38","20,788.34","20,604.86","309.83M","0.64%"
"05/12/2025","20,627.38","20,504.37","20,787.35","20,503.15","331.56M","0.60%"
"05/09/2025","20,504.37","20,457.15","20,572.50","20,452.26","268.07M","0.23%"
"05/08/2025","20,457.15","20,337.00","20,586.20","20,332.81","371.11M","0.59%"
"05/07/2025","20,337.00","20,352.49","20,352.49","20,207.61","466.86M","-0.08%"
"05/06/2025","20,352.49","20,240.51","20,383.36","20,206.52","443.04M","0.55%"
"05/02/2025","20,240.51","20,134.97","20,275.07","20,118.55","323.30M","0.52%"
"05/01/2025","20,134.97","19,884.59","20,134.97","19,882.06","212.42M","1.26%"
"04/30/2025","19,884.59","19,809.72","19,948.64","19,725.52","346.49M","0.38%"
"04/29/2025","19,809.72","19,733.31","19,894.79","19,731.61","368.60M","0.39%"
"04/28/2025","19,733.31","19,609.69","19,816.08","19,609.69","299.34M","0.63%"
"04/25/2025","19,609.69","19,504.37","19,622.70","19,504.37","343.95M","0.54%"
"04/24/2025","19,504.37","19,483.05","19,508.71","19,360.58","324.63M","0.11%"
"04/23/2025","19,483.05","19,238.24","19,624.63","19,238.24","363.52M","1.27%"
"04/22/2025","19,238.24","19,250.01","19,266.70","19,157.82","406.33M","-0.06%"
"04/17/2025","19,250.01","19,265.81","19,277.80","19,150.79","297.34M","-0.08%"
"04/16/2025","19,265.81","19,267.94","19,276.41","19,102.56","268.95M","-0.01%"
"04/15/2025","19,267.94","18,978.51","19,267.94","18,963.27","378.86M","1.53%"
"04/14/2025","18,978.51","18,514.85","18,986.58","18,512.50","285.75M","2.50%"
"04/11/2025","18,514.85","18,517.41","18,608.75","18,319.89","339.20M","-0.01%"
"04/10/2025","18,517.41","17,890.64","18,988.91","17,890.64","443.94M","3.50%"
"04/09/2025","17,890.64","18,349.15","18,349.15","17,708.10","646.87M","-2.50%"
"04/08/2025","18,349.15","17,765.19","18,506.86","17,764.31","415.48M","3.29%"
"04/07/2025","17,765.19","18,365.35","18,480.54","17,392.49","587.39M","-3.27%"
"04/04/2025","18,365.35","19,210.51","19,212.22","18,253.10","494.64M","-4.40%"
"04/03/2025","19,210.51","19,649.63","19,650.70","19,186.28","461.82M","-2.23%"
"04/02/2025","19,649.63","19,590.86","19,649.63","19,419.20","287.27M","0.30%"
"04/01/2025","19,590.86","19,475.48","19,683.38","19,474.21","362.86M","0.59%"
"03/31/2025","19,475.48","19,864.98","19,864.98","19,449.99","485.69M","-1.96%"
"03/28/2025","19,864.98","19,914.70","19,987.87","19,808.75","260.49M","-0.25%"
"03/27/2025","19,914.70","20,039.20","20,039.20","19,851.06","306.35M","-0.62%"
"03/26/2025","20,039.20","19,981.21","20,103.59","19,981.21","324.61M","0.29%"
"03/25/2025","19,981.21","19,922.43","20,089.58","19,889.73","387.21M","0.30%"
"03/24/2025","19,922.43","19,911.50","20,028.05","19,896.23","286.39M","0.05%"
"03/21/2025","19,911.50","20,097.98","20,099.44","19,911.50","694.91M","-0.93%"
"03/20/2025","20,097.98","20,122.37","20,242.69","20,058.47","429.38M","-0.12%"
"03/19/2025","20,122.37","20,097.77","20,143.17","20,040.70","340.15M","0.12%"
"03/18/2025","20,097.77","20,027.91","20,203.54","20,027.91","390.41M","0.35%"
"03/17/2025","20,027.91","19,995.59","20,034.30","19,932.91","290.54M","0.16%"
"03/14/2025","19,995.59","19,688.57","19,996.51","19,675.66","302.09M","1.56%"
"03/13/2025","19,688.57","19,886.51","19,886.51","19,672.38","330.79M","-1.00%"
"03/12/2025","19,886.51","19,770.16","19,983.08","19,770.16","333.98M","0.59%"
"03/11/2025","19,770.16","19,875.18","20,010.24","19,758.57","438.49M","-0.53%"
"03/10/2025","19,875.18","20,129.12","20,207.23","19,875.18","417.87M","-1.26%"
"03/07/2025","20,129.12","20,159.07","20,164.35","19,952.48","397.81M","-0.15%"
"03/06/2025","20,159.07","20,127.73","20,232.70","20,055.32","430.68M","0.16%"
"03/05/2025","20,127.73","19,950.50","20,294.95","19,950.44","399.39M","0.89%"
"03/04/2025","19,950.50","20,382.29","20,384.68","19,921.13","466.02M","-2.12%"
"03/03/2025","20,382.29","20,326.38","20,468.65","20,304.81","364.49M","0.28%"
"02/28/2025","20,326.38","20,414.73","20,416.00","20,236.76","594.51M","-0.43%"
"02/27/2025","20,414.73","20,595.90","20,608.34","20,340.36","319.04M","-0.88%"
"02/26/2025","20,595.90","20,448.28","20,671.19","20,446.97","342.77M","0.72%"
"02/25/2025","20,448.28","20,484.39","20,573.25","20,441.39","404.32M","-0.18%"
"02/24/2025","20,484.39","20,613.89","20,664.84","20,401.85","490.58M","-0.63%"
"02/21/2025","20,613.89","20,612.77","20,794.34","20,606.78","286.33M","0.01%"
"02/20/2025","20,612.77","20,707.79","20,777.69","20,576.83","313.23M","-0.46%"
"02/19/2025","20,707.79","20,881.56","20,882.07","20,678.95","309.31M","-0.83%"
"02/18/2025","20,881.56","20,938.68","20,984.05","20,834.82","301.91M","-0.27%"
"02/17/2025","20,938.68","20,913.14","20,996.30","20,913.14","407.64M","0.12%"
"02/14/2025","20,913.01","20,916.14","21,008.55","20,911.33","305.23M","-0.01%"
"02/13/2025","20,916.14","20,880.50","20,958.58","20,821.37","307.48M","0.17%"
"02/12/2025","20,880.50","20,919.72","21,063.17","20,857.10","363.62M","-0.19%"
"02/11/2025","20,919.72","20,986.28","20,987.00","20,873.04","311.97M","-0.32%"
"02/10/2025","20,986.28","20,807.84","21,032.73","20,807.84","234.04M","0.86%"
"02/07/2025","20,807.84","20,973.13","21,023.59","20,807.84","238.56M","-0.79%"
"02/06/2025","20,973.13","20,762.88","21,117.98","20,761.57","398.87M","1.01%"
"02/05/2025","20,762.88","20,653.26","20,763.18","20,582.53","304.49M","0.53%"
"02/04/2025","20,653.26","20,711.76","20,711.76","20,565.39","259.26M","-0.28%"
"02/03/2025","20,711.76","20,950.48","20,950.48","20,489.66","346.56M","-1.14%"
"01/31/2025","20,950.48","20,805.07","20,950.48","20,773.94","412.70M","0.70%"
"01/30/2025","20,805.07","20,559.70","20,805.07","20,555.52","262.95M","1.19%"
"01/29/2025","20,559.70","20,588.51","20,721.25","20,559.70","317.02M","-0.14%"
"01/28/2025","20,588.51","20,369.50","20,614.34","20,349.98","336.11M","1.08%"
"01/27/2025","20,369.50","20,518.05","20,518.05","20,324.63","282.33M","-0.72%"
"01/24/2025","20,518.05","20,520.39","20,681.55","20,493.85","322.25M","-0.01%"
"01/23/2025","20,520.39","20,580.30","20,602.35","20,446.21","311.81M","-0.29%"
"01/22/2025","20,580.30","20,595.73","20,696.28","20,579.00","316.16M","-0.07%"
"01/21/2025","20,595.73","20,486.74","20,601.39","20,483.47","328.23M","0.53%"
"01/20/2025","20,486.74","20,597.42","20,628.61","20,467.17","283.18M","-0.54%"
"01/17/2025","20,597.42","20,527.70","20,618.78","20,469.58","304.85M","0.34%"
"01/16/2025","20,527.70","20,333.62","20,527.70","20,331.97","304.92M","0.95%"
"01/15/2025","20,333.62","19,766.27","20,333.62","19,766.27","344.40M","2.87%"
"01/14/2025","19,766.27","19,718.37","19,871.05","19,717.16","320.34M","0.24%"
"01/13/2025","19,718.37","19,733.94","19,748.19","19,659.02","312.86M","-0.08%"
"01/10/2025","19,733.94","20,005.14","20,029.32","19,732.28","308.77M","-1.36%"
"01/09/2025","20,005.14","19,952.24","20,020.20","19,733.12","467.58M","0.27%"
"01/08/2025","19,952.24","20,350.37","20,400.73","19,952.24","385.10M","-1.96%"
"01/07/2025","20,350.37","20,612.65","20,618.31","20,333.08","319.34M","-1.27%"
"01/06/2025","20,612.65","20,591.40","20,776.67","20,578.23","284.28M","0.10%"
"01/03/2025","20,591.40","20,640.23","20,640.77","20,566.58","180.32M","-0.24%"
"01/02/2025","20,640.23","20,622.61","20,665.11","20,540.41","167.99M","0.09%"
"12/31/2024","20,622.61","20,404.55","20,627.13","20,400.69","77.32M","1.07%"
"12/30/2024","20,404.55","20,488.65","20,491.68","20,328.55","131.48M","-0.41%"
"12/27/2024","20,488.65","20,571.51","20,575.47","20,457.81","119.39M","-0.40%"
"12/24/2024","20,571.51","20,419.09","20,571.51","20,417.36","69.26M","0.75%"
"12/23/2024","20,419.09","20,450.69","20,450.69","20,372.16","186.19M","-0.15%"
"12/20/2024","20,450.69","20,399.38","20,450.69","20,232.68","623.41M","0.25%"
"12/19/2024","20,399.38","20,601.99","20,601.99","20,316.45","423.53M","-0.98%"
"12/18/2024","20,601.99","20,542.86","20,663.35","20,542.86","279.04M","0.29%"
"12/17/2024","20,542.86","20,813.03","20,813.03","20,542.86","362.37M","-1.30%"
"12/16/2024","20,813.03","20,889.15","20,902.44","20,787.47","231.19M","-0.36%"
"12/13/2024","20,889.15","20,949.04","21,016.57","20,874.39","216.48M","-0.29%"
"12/12/2024","20,949.04","20,973.45","20,996.59","20,934.14","283.42M","-0.12%"
"12/11/2024","20,973.45","20,973.94","21,020.86","20,886.39","273.00M","0.00%"
"12/10/2024","20,973.94","21,049.27","21,049.27","20,917.79","276.36M","-0.36%"
"12/09/2024","21,049.27","21,059.00","21,122.46","21,021.25","297.69M","-0.05%"
"12/06/2024","21,059.00","21,001.06","21,110.63","20,984.83","301.92M","0.28%"
"12/05/2024","21,001.06","21,005.15","21,046.03","20,954.84","283.13M","-0.02%"
