"Date","Price","Open","High","Low","Vol.","Change %"
"05/26/2025","2,385.39","2,343.56","2,385.39","2,339.07","52.75M","1.91%"
"05/23/2025","2,340.60","2,353.97","2,358.68","2,338.32","50.30M","-0.02%"
"05/22/2025","2,341.10","2,362.64","2,364.79","2,334.67","52.31M","-1.39%"
"05/21/2025","2,374.08","2,375.46","2,387.39","2,369.03","48.32M","0.58%"
"05/20/2025","2,360.29","2,377.43","2,384.00","2,355.67","50.14M","0.13%"
"05/19/2025","2,357.15","2,367.13","2,371.73","2,347.06","46.16M","-0.98%"
"05/16/2025","2,380.59","2,382.86","2,385.71","2,372.88","55.70M","0.28%"
"05/15/2025","2,374.02","2,387.02","2,401.78","2,370.64","48.24M","-0.79%"
"05/14/2025","2,392.90","2,387.18","2,402.78","2,375.71","56.45M","1.15%"
"05/13/2025","2,365.59","2,372.40","2,384.30","2,360.86","61.67M","-0.24%"
"05/12/2025","2,371.24","2,341.92","2,371.24","2,334.96","56.47M","2.00%"
"05/09/2025","2,324.72","2,337.53","2,337.56","2,318.72","35.95M","-0.12%"
"05/08/2025","2,327.52","2,341.79","2,344.56","2,327.52","59.04M","-0.22%"
"05/07/2025","2,332.61","2,330.95","2,338.39","2,318.10","62.31M","0.68%"
"05/02/2025","2,316.79","2,318.05","2,323.92","2,299.28","58.62M","-0.08%"
"04/30/2025","2,318.73","2,321.47","2,328.80","2,307.52","50.06M","-0.18%"
"04/29/2025","2,322.96","2,314.40","2,334.30","2,305.68","42.77M","0.57%"
"04/28/2025","2,309.83","2,312.87","2,317.77","2,302.47","40.13M","-0.04%"
"04/25/2025","2,310.78","2,315.31","2,320.96","2,303.05","61.76M","0.84%"
"04/24/2025","2,291.63","2,296.64","2,303.02","2,277.77","41.67M","-0.26%"
"04/23/2025","2,297.53","2,293.12","2,299.20","2,279.26","41.70M","1.75%"
"04/22/2025","2,257.93","2,255.41","2,268.03","2,249.43","34.60M","-0.24%"
"04/21/2025","2,263.28","2,258.63","2,276.12","2,253.66","29.64M","0.34%"
"04/18/2025","2,255.51","2,239.79","2,259.96","2,236.19","35.61M","0.69%"
"04/17/2025","2,240.12","2,227.34","2,244.05","2,220.41","36.92M","0.68%"
"04/16/2025","2,224.93","2,250.53","2,253.78","2,219.60","39.20M","-1.59%"
"04/15/2025","2,260.98","2,252.51","2,268.96","2,250.58","33.93M","0.83%"
"04/14/2025","2,242.38","2,246.71","2,259.11","2,236.39","37.06M","0.89%"
"04/11/2025","2,222.66","2,205.62","2,226.31","2,194.00","49.10M","-1.33%"
"04/10/2025","2,252.65","2,207.47","2,252.65","2,203.31","72.38M","6.83%"
"04/09/2025","2,108.68","2,138.53","2,151.79","2,102.92","64.50M","-1.68%"
"04/08/2025","2,144.80","2,197.40","2,197.40","2,139.64","66.43M","0.02%"
"04/07/2025","2,144.34","2,169.67","2,183.73","2,143.43","81.28M","-5.75%"
"04/04/2025","2,275.20","2,269.94","2,325.82","2,252.52","73.03M","-1.59%"
"04/03/2025","2,311.96","2,269.54","2,312.06","2,269.54","54.69M","-1.13%"
"04/02/2025","2,338.29","2,352.46","2,358.95","2,330.89","43.11M","-0.43%"
"04/01/2025","2,348.45","2,336.39","2,359.27","2,319.37","41.81M","1.90%"
"03/31/2025","2,304.72","2,342.26","2,344.18","2,304.25","54.90M","-3.35%"
"03/28/2025","2,384.67","2,417.11","2,417.11","2,376.99","43.38M","-2.26%"
"03/27/2025","2,439.70","2,442.52","2,459.52","2,434.67","47.17M","-1.24%"
"03/26/2025","2,470.36","2,449.02","2,474.07","2,442.74","41.92M","1.35%"
"03/25/2025","2,437.35","2,471.96","2,474.28","2,434.26","47.87M","-0.53%"
"03/24/2025","2,450.30","2,450.08","2,471.09","2,444.16","40.30M","-0.59%"
"03/21/2025","2,464.77","2,451.34","2,465.47","2,438.50","98.48M","0.78%"
"03/20/2025","2,445.76","2,439.46","2,452.04","2,423.91","71.66M","1.18%"
"03/19/2025","2,417.25","2,392.58","2,432.79","2,392.58","72.03M","1.00%"
"03/18/2025","2,393.37","2,416.34","2,427.60","2,387.54","65.57M","-0.15%"
"03/17/2025","2,397.04","2,368.32","2,399.95","2,368.32","74.36M","2.17%"
"03/14/2025","2,346.08","2,344.23","2,358.02","2,342.22","52.11M","-0.34%"
"03/13/2025","2,354.07","2,377.58","2,379.67","2,336.55","75.92M","0.04%"
"03/12/2025","2,353.21","2,316.89","2,355.42","2,309.66","58.03M","2.17%"
"03/11/2025","2,303.30","2,279.95","2,314.49","2,270.73","60.17M","-1.08%"
"03/10/2025","2,328.40","2,315.48","2,338.90","2,313.69","52.09M","0.06%"
"03/07/2025","2,326.91","2,316.63","2,338.47","2,307.38","55.96M","-0.63%"
"03/06/2025","2,341.69","2,333.81","2,346.10","2,327.10","57.26M","0.96%"
"03/05/2025","2,319.31","2,323.82","2,336.72","2,298.73","75.49M","0.77%"
"03/04/2025","2,301.69","2,293.35","2,322.19","2,288.88","70.00M","-0.26%"
"02/28/2025","2,307.68","2,354.53","2,357.06","2,305.30","104.14M","-3.53%"
"02/27/2025","2,392.01","2,407.95","2,412.10","2,383.68","64.13M","-0.95%"
"02/26/2025","2,414.93","2,399.97","2,424.72","2,393.77","71.34M","0.51%"
"02/25/2025","2,402.74","2,392.31","2,416.48","2,391.68","70.40M","-0.78%"
"02/24/2025","2,421.75","2,411.58","2,421.75","2,405.35","81.02M","-0.48%"
"02/21/2025","2,433.42","2,437.75","2,437.75","2,414.44","64.48M","-0.12%"
"02/20/2025","2,436.43","2,445.54","2,452.71","2,426.73","78.10M","-0.69%"
"02/19/2025","2,453.33","2,410.92","2,462.20","2,410.92","86.47M","2.16%"
"02/18/2025","2,401.40","2,391.42","2,405.26","2,379.21","83.63M","0.56%"
"02/17/2025","2,387.91","2,375.17","2,392.59","2,372.73","72.40M","0.70%"
"02/14/2025","2,371.21","2,361.26","2,381.11","2,358.40","114.22M","0.71%"
"02/13/2025","2,354.59","2,340.98","2,354.59","2,337.32","78.57M","1.01%"
"02/12/2025","2,331.07","2,326.87","2,337.72","2,315.73","65.80M","-0.20%"
"02/11/2025","2,335.80","2,330.74","2,346.66","2,323.06","59.96M","0.63%"
"02/10/2025","2,321.13","2,298.44","2,327.08","2,288.05","72.41M","0.31%"
"02/07/2025","2,314.01","2,328.66","2,331.62","2,309.76","55.35M","-0.78%"
"02/06/2025","2,332.23","2,320.94","2,332.32","2,310.74","63.00M","1.05%"
"02/05/2025","2,307.97","2,303.86","2,317.17","2,295.77","61.38M","1.29%"
"02/04/2025","2,278.49","2,281.45","2,309.62","2,268.04","80.69M","1.13%"
"02/03/2025","2,253.05","2,267.05","2,267.44","2,236.29","92.43M","-2.65%"
"01/31/2025","2,314.50","2,339.38","2,341.90","2,288.69","106.68M","-1.10%"
"01/24/2025","2,340.27","2,340.66","2,354.03","2,329.92","53.96M","0.44%"
"01/23/2025","2,329.93","2,347.16","2,349.17","2,329.27","55.27M","-1.20%"
"01/22/2025","2,358.34","2,341.95","2,363.80","2,328.71","84.55M","1.50%"
"01/21/2025","2,323.51","2,337.90","2,356.56","2,313.74","45.07M","0.08%"
"01/20/2025","2,321.74","2,339.16","2,342.76","2,317.99","51.26M","-0.32%"
"01/17/2025","2,329.30","2,327.88","2,339.49","2,315.50","60.59M","-0.31%"
"01/16/2025","2,336.56","2,338.43","2,346.13","2,328.81","51.38M","1.48%"
