"Date","Price","Open","High","Low","Vol.","Change %"
"05/26/2025","8,361.00","8,360.70","8,369.30","8,345.50","500.63M","0.00%"
"05/23/2025","8,360.90","8,348.70","8,380.60","8,339.60","552.50M","0.15%"
"05/22/2025","8,348.70","8,386.80","8,386.80","8,311.40","626.93M","-0.45%"
"05/21/2025","8,386.80","8,343.30","8,422.90","8,343.30","648.02M","0.52%"
"05/20/2025","8,343.30","8,295.10","8,364.50","8,295.10","641.03M","0.58%"
"05/19/2025","8,295.10","8,343.70","8,344.80","8,284.00","626.27M","-0.58%"
"05/16/2025","8,343.70","8,297.50","8,398.20","8,297.50","762.72M","0.56%"
"05/15/2025","8,297.50","8,279.60","8,303.10","8,257.40","752.96M","0.22%"
"05/14/2025","8,279.60","8,269.00","8,279.60","8,247.00","732.51M","0.13%"
"05/13/2025","8,269.00","8,233.50","8,314.00","8,233.50","924.40M","0.43%"
"05/12/2025","8,233.50","8,231.20","8,279.30","8,231.20","661.79M","0.03%"
"05/09/2025","8,231.20","8,191.70","8,242.90","8,183.30","802.01M","0.48%"
"05/08/2025","8,191.70","8,178.30","8,211.20","8,154.80","763.06M","0.16%"
"05/07/2025","8,178.30","8,151.40","8,191.40","8,151.40","886.55M","0.33%"
"05/06/2025","8,151.40","8,157.70","8,168.90","8,138.40","609.64M","-0.08%"
"05/05/2025","8,157.80","8,238.00","8,240.50","8,157.70","637.03M","-0.97%"
"05/02/2025","8,238.00","8,145.60","8,239.60","8,129.80","772.16M","1.13%"
"05/01/2025","8,145.60","8,126.20","8,152.50","8,109.70","676.72M","0.24%"
"04/30/2025","8,126.20","8,070.60","8,126.20","8,069.10","889.51M","0.69%"
"04/29/2025","8,070.60","7,997.10","8,076.70","7,997.10","710.81M","0.92%"
"04/28/2025","7,997.10","7,968.20","8,051.80","7,968.20","768.95M","0.36%"
"04/24/2025","7,968.20","7,920.50","7,983.80","7,920.50","639.12M","0.60%"
"04/23/2025","7,920.50","7,816.70","7,961.80","7,816.70","1.01B","1.33%"
"04/22/2025","7,816.70","7,819.10","7,822.40","7,745.10","653.88M","-0.03%"
"04/17/2025","7,819.10","7,758.90","7,819.10","7,757.40","679.49M","0.78%"
"04/16/2025","7,758.90","7,761.70","7,791.40","7,747.50","730.55M","-0.04%"
"04/15/2025","7,761.70","7,748.60","7,798.70","7,743.60","676.69M","0.17%"
"04/14/2025","7,748.60","7,646.50","7,764.10","7,646.50","661.20M","1.34%"
"04/11/2025","7,646.50","7,709.60","7,709.60","7,524.50","834.80M","-0.82%"
"04/10/2025","7,709.60","7,375.00","7,842.90","7,375.00","1.01B","4.54%"
"04/09/2025","7,375.00","7,510.00","7,510.00","7,349.00","939.75M","-1.80%"
"04/08/2025","7,510.00","7,343.30","7,510.00","7,343.30","1.02B","2.27%"
"04/07/2025","7,343.30","7,667.80","7,667.80","7,169.20","1.51B","-4.23%"
"04/04/2025","7,667.80","7,859.70","7,859.70","7,664.20","960.95M","-2.44%"
"04/03/2025","7,859.70","7,934.50","7,934.50","7,768.00","800.58M","-0.94%"
"04/02/2025","7,934.50","7,925.20","7,978.40","7,925.20","649.33M","0.12%"
"04/01/2025","7,925.20","7,843.40","7,925.20","7,843.40","632.70M","1.04%"
"03/31/2025","7,843.40","7,982.00","7,982.00","7,843.00","812.64M","-1.74%"
"03/28/2025","7,982.00","7,969.00","8,001.00","7,941.50","600.25M","0.16%"
"03/27/2025","7,969.00","7,999.00","7,999.00","7,936.20","715.80M","-0.38%"
"03/26/2025","7,999.00","7,942.50","8,014.90","7,942.50","710.64M","0.71%"
"03/25/2025","7,942.50","7,936.90","7,994.00","7,936.90","651.39M","0.07%"
"03/24/2025","7,936.90","7,931.20","7,939.20","7,899.50","633.30M","0.07%"
"03/21/2025","7,931.20","7,918.90","7,962.60","7,905.10","2.22B","0.16%"
"03/20/2025","7,918.90","7,828.30","7,931.20","7,828.30","1.03B","1.16%"
"03/19/2025","7,828.30","7,860.40","7,868.50","7,808.80","756.77M","-0.41%"
"03/18/2025","7,860.40","7,854.10","7,922.90","7,850.00","700.48M","0.08%"
"03/17/2025","7,854.10","7,792.30","7,858.50","7,792.30","648.32M","0.83%"
"03/14/2025","7,789.70","7,749.10","7,795.30","7,740.10","710.13M","0.52%"
"03/13/2025","7,749.10","7,786.20","7,821.10","7,746.40","821.81M","-0.48%"
"03/12/2025","7,786.20","7,890.10","7,890.10","7,733.50","952.24M","-1.32%"
"03/11/2025","7,890.10","7,962.30","7,962.30","7,818.30","1.15B","-0.91%"
"03/10/2025","7,962.30","7,948.20","7,978.60","7,948.10","555.88M","0.18%"
"03/07/2025","7,948.20","8,094.70","8,094.70","7,946.40","672.90M","-1.81%"
"03/06/2025","8,094.70","8,141.10","8,179.70","8,076.40","732.11M","-0.57%"
"03/05/2025","8,141.10","8,198.10","8,198.10","8,096.00","736.52M","-0.70%"
"03/04/2025","8,198.10","8,245.70","8,245.70","8,150.20","706.05M","-0.58%"
"03/03/2025","8,245.70","8,172.40","8,251.90","8,172.40","707.24M","0.90%"
"02/28/2025","8,172.40","8,268.20","8,268.20","8,155.50","1.96B","-1.16%"
"02/27/2025","8,268.20","8,240.70","8,300.00","8,240.70","694.12M","0.33%"
"02/26/2025","8,240.70","8,251.90","8,251.90","8,210.10","694.66M","-0.14%"
"02/25/2025","8,251.90","8,308.20","8,308.20","8,227.60","754.08M","-0.68%"
"02/24/2025","8,308.20","8,296.20","8,310.00","8,216.30","762.74M","0.14%"
"02/21/2025","8,296.20","8,322.80","8,354.00","8,289.70","698.39M","-0.32%"
"02/20/2025","8,322.80","8,419.20","8,419.20","8,287.80","893.65M","-1.15%"
"02/19/2025","8,419.20","8,481.00","8,482.00","8,389.40","757.29M","-0.73%"
"02/18/2025","8,481.00","8,537.10","8,544.70","8,468.70","631.33M","-0.66%"
"02/17/2025","8,537.10","8,555.80","8,555.80","8,480.20","659.41M","-0.22%"
"02/14/2025","8,555.80","8,540.00","8,615.20","8,540.00","750.86M","0.19%"
"02/13/2025","8,540.00","8,535.30","8,575.20","8,534.60","775.97M","0.06%"
"02/12/2025","8,535.30","8,484.00","8,535.30","8,469.70","683.60M","0.60%"
"02/11/2025","8,484.00","8,482.80","8,515.30","8,480.60","670.07M","0.01%"
"02/10/2025","8,482.80","8,511.40","8,511.40","8,445.30","477.72M","-0.34%"
"02/07/2025","8,511.40","8,520.70","8,532.60","8,498.70","484.98M","-0.11%"
