"Date","Price","Open","High","Low","Vol.","Change %"
"06/13/2025","402.71","402.64","403.07","401.96","","-0.29%"
"06/12/2025","403.88","404.10","405.41","402.83","","-0.14%"
"06/11/2025","404.46","407.01","407.01","404.17","","-0.64%"
"06/10/2025","407.06","412.10","412.35","406.09","","-1.25%"
"06/09/2025","412.20","413.14","413.99","410.99","","-0.26%"
"06/06/2025","413.28","414.22","416.49","412.59","","-0.10%"
"06/05/2025","413.71","411.85","414.93","411.10","","0.45%"
"06/04/2025","411.87","409.69","412.90","408.72","","0.48%"
"06/03/2025","409.91","409.11","411.05","407.49","","0.27%"
"06/02/2025","408.82","407.50","408.83","405.12","","0.51%"
"05/30/2025","406.74","408.77","409.30","405.46","","-0.54%"
"05/29/2025","408.95","411.98","412.00","408.44","","-0.46%"
"05/28/2025","410.83","410.61","412.20","409.99","","0.37%"
"05/27/2025","409.32","406.45","411.30","405.92","","0.74%"
"05/26/2025","406.31","406.91","407.12","405.09","","-0.25%"
"05/23/2025","407.31","406.65","408.17","404.07","","0.32%"
"05/22/2025","406.02","406.05","407.22","404.42","","-0.01%"
"05/21/2025","406.05","406.04","407.06","404.74","","-0.14%"
"05/20/2025","406.61","408.31","408.54","406.13","","0.05%"
"05/19/2025","406.39","407.80","408.33","404.03","","-0.38%"
"05/16/2025","407.94","408.80","409.73","407.14","","-0.18%"
"05/15/2025","408.66","408.01","408.72","406.93","","0.59%"
"05/14/2025","406.27","402.55","406.53","400.46","","1.02%"
"05/13/2025","402.16","401.05","402.82","396.38","","1.32%"
"05/12/2025","396.91","396.89","397.81","395.25","","0.60%"
"05/09/2025","394.53","396.30","398.59","394.08","","-0.17%"
"05/08/2025","395.21","393.08","396.10","392.02","","0.40%"
"05/07/2025","393.64","392.29","394.60","391.72","","-0.05%"
"05/06/2025","393.84","394.23","394.74","392.42","","0.17%"
"05/05/2025","393.18","394.27","394.27","391.76","","0.17%"
"05/02/2025","392.51","391.67","393.67","389.62","","0.52%"
"05/01/2025","390.47","390.51","391.54","389.74","","0.41%"
"04/30/2025","388.87","386.95","388.98","386.27","","0.70%"
"04/29/2025","386.18","384.17","387.44","384.16","","0.25%"
"04/28/2025","385.21","386.03","386.03","383.27","","-0.12%"
"04/25/2025","385.68","386.07","386.08","382.45","","-0.03%"
"04/24/2025","385.80","384.35","386.34","382.66","","0.67%"
"04/23/2025","383.24","381.01","385.79","380.63","","1.30%"
"04/22/2025","378.34","373.51","379.51","372.54","","1.23%"
"04/21/2025","373.74","373.33","377.40","372.70","","0.14%"
"04/18/2025","373.21","373.21","373.21","373.21","","0.00%"
"04/17/2025","373.21","367.77","374.63","366.13","","1.59%"
"04/16/2025","367.36","365.36","368.70","364.09","","0.74%"
"04/15/2025","364.65","360.14","365.11","359.09","","2.01%"
"04/14/2025","357.48","358.91","360.99","357.14","","0.89%"
"04/11/2025","354.33","350.95","354.80","349.54","","-1.30%"
"04/10/2025","359.01","349.46","368.19","349.46","","3.38%"
"04/09/2025","347.26","342.87","347.77","337.34","","0.78%"
"04/08/2025","344.58","351.35","355.13","343.47","","-1.90%"
"04/07/2025","351.24","370.41","370.41","346.11","","-6.07%"
"04/04/2025","373.93","388.38","389.16","373.69","","-4.56%"
